,Date,BCHUSD,BTCUSD,DASHUSD,ETCUSD,ETHUSD,GASUSD_e,GNOUSD_e,LSKUSD_b,LTCUSD,NXTUSD_b,OMGUSD_e,POTUSD_b,REPUSD_e,XEMUSD_b,XMRUSD,XRPUSD_b,ZECUSD_e,ZRXUSD_e
84,2017-07-04 23,,2580,181.46,17.31,266.7,,314.706,2.51163,54.67,0.14448,,0.1038708,27.28341,0.1858632,45.3,0.2464674,280.035,
85,2017-07-05 00,,2545.59,178.62,17.18,262.95,,310.281,2.448603021,54.19,0.140592936,,0.101594497,27.267915,0.183333392,44.27,0.2463622,276.0975,
86,2017-07-05 01,,2542,180.12,17.26,264.7,,312.346,2.459385,53.86,0.14151314,,0.10168,26.94646,0.17834672,45.03,0.24609102,277.935,
87,2017-07-05 02,,2529.73,182,17.14,264.43,,309.3831,2.447513775,52.81,0.140602393,,0.100759146,26.628101,0.1770811,44.62,0.245080242,277.6515,
88,2017-07-05 03,,2539.08,180.31,17.28,267,,312.39,2.45782944,53.57,0.142163089,,0.102274142,27.1005,0.178116462,44.55,0.248702886,277.68,
89,2017-07-05 04,,2532.79,180.27,17.22,265.53,,326.6019,2.451234162,52.21,0.141253698,,0.101260944,26.951295,0.177320628,44.45,0.25581179,276.1512,
90,2017-07-05 05,,2530.07,182.14,17.17,264.25,,325.0275,2.49211895,52.5,0.139583962,,0.102442534,26.79495,0.173714606,45.6,0.249970916,277.4625,
91,2017-07-05 06,,2522,185.1,17.12,263.09,,326.2316,2.4473488,51.63,0.139971,,0.1011322,26.782562,0.17396756,45.97,0.24846744,273.6136,
92,2017-07-05 07,,2495,181.63,16.87,258.38,,320.3912,2.4149105,50.29,0.13729985,,0.09952555,26.018866,0.172155,45.2,0.2434122,273.8828,
93,2017-07-05 08,,2517.1,183.18,17,259.41,,319.0743,2.43932161,52.42,0.141108626,,0.099047885,26.433879,0.175064305,45.17,0.245971012,272.3805,
94,2017-07-05 09,,2515.5,184.28,16.81,258.5,,320.54,2.4516063,52.25,0.139283235,,0.09815481,26.18605,0.173997135,45.29,0.246544155,274.01,
95,2017-07-05 10,,2497,188,16.73,254.6,,315.704,2.429581,51.09,0.13850859,,0.0971333,26.04558,0.17306707,45.8,0.24388199,269.876,
96,2017-07-05 11,,2516.18,195.37,16.71,258.69,,315.6018,2.434152532,50.66,0.135999529,,0.097879402,26.412249,0.17180477,46.22,0.24406946,271.6245,
97,2017-07-05 12,,2522.3,193.9,17.02,259,,318.57,2.43351504,51.05,0.136759106,,0.099681296,26.2626,0.173736024,46.31,0.24592425,271.95,
98,2017-07-05 13,,2550.88,191,17,255.71,,314.5233,2.46032376,49.81,0.136701659,,0.100810778,26.312559,0.174327139,45.92,0.247333325,268.4955,
99,2017-07-05 14,,2544,195.49,16.93,252.88,,316.1,2.444784,49.6,0.1355952,,0.10033536,26.400672,0.1728648,45.69,0.24414768,270.5816,
100,2017-07-05 15,,2556.36,195,17.05,255.55,,316.882,2.42726382,50.45,0.135921661,,0.100771711,26.500535,0.172656554,45.65,0.245742887,268.3275,
101,2017-07-05 16,,2558,194.39,17.2,254.84,,313.4532,2.4280536,50.9,0.135574,,0.1012968,26.50336,0.171386,45.2,0.2451843,270.1304,
102,2017-07-05 17,,2568,195,17.3,258.5,,315.37,2.4429384,51.94,0.13666896,,0.10166712,26.4704,0.172056,45.41,0.24706728,271.425,
103,2017-07-05 18,,2569.11,196.98,17.22,266.5,,325.13,2.47919115,50.5,0.138603484,,0.100323746,26.51675,0.172952485,45.27,0.247919115,274.495,
104,2017-07-05 19,,2602.5,206,17.4,268.04,,345.7716,2.479662,51.77,0.138843375,,0.1011852,27.018432,0.175694775,45.92,0.2496318,278.7616,
105,2017-07-05 20,,2593.4,211,17.3,263,,339.27,2.45128168,51.4,0.138176352,,0.101816884,26.7997,0.17492483,45.55,0.248681126,273.52,
106,2017-07-05 21,,2589.76,205.8,17.21,265.48,,339.8144,2.44861808,51.73,0.138241389,,0.101777568,26.68074,0.174601619,45.65,0.248850038,281.4088,
107,2017-07-05 22,,2600.82,205.23,17.3,265.22,,339.4816,2.47207941,53.22,0.138779755,,0.101405972,26.840264,0.173500702,45.74,0.250927114,281.1332,
108,2017-07-05 23,,2599,209,17.34,265.11,,336.6897,2.46905,52.74,0.13850071,,0.10211471,26.908665,0.17332731,45.99,0.2492441,281.0166,
109,2017-07-06 00,,2601,212.92,17.36,263,,339.27,2.4465006,52,0.1399338,,0.10151703,26.9049,0.17551548,46.71,0.25185483,278.78,
110,2017-07-06 01,,2582.26,221,17.11,261.49,,337.3221,2.432230694,51.52,0.135620295,,0.10011422,26.907321,0.171074725,46.87,0.249730365,279.7943,
