Jul.Day,YYYY/MM/DD,Wdy,CZK/USD,DKK/USD,NLG/USD,XCD/USD,EGP/USD,EEK/USD,EUR/USD,FJD/USD,FIM/USD,FRF/USD,XAF/USD,XPF/USD,DEM/USD,GHS/USD,XAU/USD,GRD/USD,HNL/USD,HKD/USD,HUF/USD,ISK/USD
2451254,3/16/1999,Tue,34.816,6.8085,2.0188,2.6996,3.335,,0.91609,1.9856,5.4468,6.0092,600.83,109.26,1.7917,0.239953,0.0035303,294.56,13.635,7.751,232.04,71.997
2451255,3/17/1999,Wed,34.473,6.7392,2.0002,2.7,3.386,,0.90766,1.986,5.3967,5.9539,595.34,108.23,1.7752,0.237394,0.0035248,292.92,13.948,7.7519,230.3,71.846
2451256,3/18/1999,Thu,34.359,6.7602,2.0047,2.6998,3.401,,0.90967,1.9858,5.4087,5.9671,596.66,108.55,1.7792,0.242763,0.0035393,292.25,13.955,7.7536,230.58,71.583
2451257,3/19/1999,Fri,34.747,6.8073,2.0171,2.6996,3.3757,,0.91531,1.9841,5.4422,6.0041,600.36,109.17,1.7902,0.240524,0.0035085,294.4,14.057,7.7509,230.87,71.883
2451260,3/22/1999,Mon,35.185,6.8128,2.0185,2.6997,3.399,,0.91594,1.9829,5.4459,6.0082,600.88,109.28,1.7914,0.24112,0.0035309,295.66,13.993,7.7521,232.81,72.036
2451261,3/23/1999,Tue,35.139,6.8035,2.0183,2.7,3.3397,,0.91585,1.9755,5.4454,6.0076,600.84,109.23,1.7913,0.242171,0.0035429,296.46,13.986,7.7524,232.41,72.106
2451262,3/24/1999,Wed,35.281,6.8081,2.0173,2.7,3.4355,,0.91539,1.9685,5.4427,6.0046,600.36,109.14,1.7904,0.244934,0.0035226,296.63,13.99,7.7441,234.31,71.888
2451263,3/25/1999,Thu,,6.8397,2.0269,2.6997,,,0.91979,1.9705,5.4688,6.0334,603.36,109.67,1.7989,0.243974,,297.87,13.996,7.7526,,72.051
2451264,3/26/1999,Fri,35.871,6.9168,2.051,2.6996,3.4336,,0.93069,1.9724,5.5336,6.1049,610.49,111.03,1.8203,0.241372,0.0035763,301.65,13.987,7.7531,235.37,72.69
2451267,3/29/1999,Mon,35.951,6.9385,2.0561,2.6996,3.3868,,0.93301,1.984,5.5474,6.1202,611.89,111.22,1.8248,0.241629,0.00357,304.22,14.071,7.753,237.1,72.686
2451268,3/30/1999,Tue,35.765,6.9254,2.053,2.6999,,,0.93163,1.9901,5.5392,6.1111,611.11,111.13,1.8221,0.243951,0.0035841,302.14,14.057,7.7445,236.99,72.577
2451269,3/31/1999,Wed,35.588,6.8819,2.0388,2.6998,3.3392,,0.92515,1.9979,5.5007,6.0686,606.84,110.32,1.8094,0.241472,0.0035772,302.38,14.052,7.7514,235.29,72.453
2451270,4/1/1999,Thu,35.564,6.9002,2.0442,2.6998,3.332,,0.92762,1.9939,5.5154,6.0848,608.6,110.68,1.8143,0.244429,0.0035587,302.09,14.052,7.7521,234.9,72.502
2451274,4/5/1999,Mon,35.807,6.9495,2.0582,2.6999,3.4255,,0.93396,1.9823,5.5531,6.1264,612.59,111.37,1.8267,0.242165,0.0035945,304.8,14.088,7.7508,235.33,72.873
2451275,4/6/1999,Tue,35.351,6.8554,2.0326,2.6996,3.3409,,0.92233,1.9955,5.4839,6.0501,604.99,109.98,1.8039,0.242094,0.0035741,304.39,14.09,7.7535,234.9,73.194
2451276,4/7/1999,Wed,35.389,6.893,2.0433,2.6999,3.4201,,0.92721,1.9955,5.513,6.0821,608.27,110.58,1.8135,0.244397,0.0035783,300.96,14.09,7.751,235,73.093
2451277,4/8/1999,Thu,35.396,6.86,2.0326,2.6997,3.3408,,0.92234,1.9956,5.484,6.0502,605.13,110.05,1.8039,0.245721,0.0035645,299.24,14.101,7.7463,232.91,72.833
2451278,4/9/1999,Fri,35.312,6.8931,2.0433,2.7,3.3853,,0.92722,1.9995,5.513,6.0821,608.1,110.52,1.8135,0.242258,0.0035593,299.32,14.09,7.7463,234.76,72.877
2451281,4/12/1999,Mon,,6.8541,2.0323,2.6995,,,0.92223,1.9862,5.4833,6.0495,604.94,109.95,1.8037,0.242173,,298.96,14.096,7.746,,72.781
2451282,4/13/1999,Tue,35.299,6.9018,2.0443,2.6999,3.3384,,0.92766,1.9792,5.5156,6.0851,608.45,110.62,1.8143,0.247114,0.0035293,300.54,14.084,7.7529,235.07,73.116
2451283,4/14/1999,Wed,35.191,6.8956,2.0443,2.6996,3.3355,,0.92767,1.9795,5.5157,6.0851,608.6,110.67,1.8144,0.242749,0.0035312,300.38,14.084,7.7513,234.78,72.718
2451284,4/15/1999,Thu,34.957,6.939,2.0561,2.6997,3.3317,,0.93302,1.9794,5.5475,6.1202,612.12,111.31,1.8248,0.246772,0.0035429,301.29,14.088,7.7509,234.84,72.85
2451285,4/16/1999,Fri,35.411,6.9574,2.0615,2.6997,3.4461,,0.93545,1.9692,5.5619,6.1362,613.55,111.52,1.8296,0.247567,0.0035195,303.51,14.12,7.7445,236.22,73.029
2451288,4/19/1999,Mon,35.429,7.0033,2.0771,2.6996,3.3295,,0.94253,1.9668,5.604,6.1826,618.26,112.4,1.8434,0.242651,0.0035067,306.83,14.12,7.7461,235.69,73.251
2451289,4/20/1999,Tue,35.457,6.993,2.0729,2.6998,3.4371,,0.94064,1.9581,5.5928,6.1702,617.03,112.16,1.8397,0.248251,0.0035256,305.16,14.052,7.7457,235.79,73.05
2451290,4/21/1999,Wed,35.738,7.0042,2.0763,2.6996,3.3406,,0.94217,1.958,5.6019,6.1802,617.88,112.3,1.8427,0.248598,0.0035349,307.67,14.048,7.7476,236.14,73.355
2451291,4/22/1999,Thu,35.697,7.0128,2.0792,2.6998,3.3367,,0.9435,1.9581,5.6098,6.1889,618.93,112.55,1.8453,0.248924,0.0035275,308.43,14.052,7.7504,235.36,73.467
2451292,4/23/1999,Fri,35.418,6.9938,2.0725,2.6996,3.3955,,0.94044,1.9581,5.5916,6.1689,616.97,112.19,1.8393,0.248552,0.0035315,305.93,14.048,7.7501,234.85,73.271
2451295,4/26/1999,Mon,35.488,7.0161,2.0809,2.6999,3.3342,,0.94426,1.9621,5.6143,6.194,619.35,112.64,1.8468,0.24941,0.00355,307.68,14.14,7.7516,235.66,73.436
2451296,4/27/1999,Tue,35.362,6.9844,2.0694,2.6997,3.3336,,0.93903,1.962,5.5832,6.1597,616.08,112.02,1.8366,0.250187,0.0035462,306.06,14.149,7.7535,235.58,73.489
2451297,4/28/1999,Wed,35.5,7.0043,2.0755,2.6998,3.3398,,0.94183,1.9647,5.5998,6.178,617.78,112.28,1.8421,0.245266,0.003536,306.39,14.143,7.7507,235.37,73.203
2451298,4/29/1999,Thu,35.592,7.0076,2.0795,2.6996,3.3403,,0.94364,1.9574,5.6106,6.1899,619.12,112.56,1.8456,0.251147,0.0035315,307.68,14.144,7.7521,235.08,73.482
2451299,4/30/1999,Fri,35.653,7.0314,2.0857,2.6998,3.3893,,0.94643,1.9474,5.6272,6.2082,620.78,112.9,1.8511,0.251311,0.0034967,306.73,14.138,7.7532,236.66,73.431
2451302,5/3/1999,Mon,35.479,7.031,2.0848,2.6996,3.3829,,0.94606,1.9467,5.625,6.2058,620.67,112.88,1.8503,0.250087,0.0034973,307.5,14.165,7.7526,235.7,73.967
2451303,5/4/1999,Tue,35.375,7.0169,2.0802,2.6996,3.3862,,0.94394,1.9449,5.6124,6.1919,619.17,112.56,1.8462,0.251854,0.0035113,307.23,14.068,7.7504,235.19,74.029
2451304,5/5/1999,Wed,35.168,6.93,2.0547,2.6998,3.3338,,0.93238,1.9494,5.5437,6.116,611.51,111.15,1.8236,0.245118,0.0034889,303.97,14.068,7.7529,233.73,73.684
2451305,5/6/1999,Thu,34.869,6.8972,2.0445,2.6998,3.389,,0.92774,1.9777,5.5161,6.0856,608.44,110.64,1.8145,0.245118,0.0034734,300.33,14.068,7.7529,232.5,73.166
2451306,5/7/1999,Fri,34.872,6.8918,2.0433,2.6996,3.3604,,0.9272,1.9295,5.5129,6.082,608.13,110.56,1.8134,0.243863,0.0035691,302.93,14.076,7.7528,232.6,73.318
2451309,5/10/1999,Mon,34.981,6.8821,2.0424,2.6996,3.3373,,0.92679,1.9293,5.5105,6.0794,607.96,110.5,1.8127,0.244097,0.0035959,302.78,14.158,7.752,232.31,73.537
2451310,5/11/1999,Tue,35.043,6.9295,2.0551,2.7,3.3996,,0.93255,1.9293,5.5447,6.1171,611.65,111.2,1.8239,0.244043,0.0035888,302.83,14.135,7.7532,232.86,73.571
2451311,5/12/1999,Wed,35.337,6.9695,2.066,2.6997,3.3446,,0.93749,1.9353,5.5741,6.1495,614.81,111.77,1.8336,0.243873,0.0036238,304.14,14.141,7.7537,234.13,73.703
2451312,5/13/1999,Thu,35.555,6.9919,2.0743,2.7,3.4412,,0.94126,1.9414,5.5965,6.1743,617.56,112.3,1.841,0.247442,0.0036057,305.93,14.146,7.7531,235.41,74.031
2451313,5/14/1999,Fri,35.379,6.9838,2.0689,2.6997,3.4361,,0.93882,1.9414,5.5819,6.1582,615.82,112,1.8362,0.244374,0.0036368,303.32,14.143,7.7532,234.4,73.41
2451316,5/17/1999,Mon,35.254,6.9638,2.065,2.6998,3.4123,,0.93705,1.9494,5.5715,6.1467,614.6,111.73,1.8327,0.024444,0.0036228,305.06,14.15,7.7511,233.83,73.493
2451317,5/18/1999,Tue,35.254,6.935,2.065,2.6996,3.3471,,0.93706,1.9494,5.5715,6.1467,614.69,111.74,1.8327,0.24464,0.0036439,304.21,14.152,7.7521,233.79,73.318
2451318,5/19/1999,Wed,35.403,6.9871,2.0705,2.6996,3.3367,,0.93956,1.9426,5.5864,6.1631,616.44,112.07,1.8376,0.24391,0.0036678,304.95,14.15,7.752,233.85,73.589
2451319,5/20/1999,Thu,35.587,6.9928,2.0728,2.6998,3.4308,,0.94058,1.9426,5.5924,6.1698,616.88,112.14,1.8396,0.25402,0.0036516,305.04,14.148,7.7509,234.41,73.69
2451320,5/21/1999,Fri,35.774,7.027,2.0839,,3.3559,,0.94564,1.9424,5.6225,6.203,620.27,112.79,1.8495,0.256503,0.0036682,307.59,14.156,7.7509,236.37,73.749
2451324,5/25/1999,Tue,,7.0115,2.0811,,,,0.94437,1.9425,5.6149,6.1946,619.35,112.64,1.847,0.255656,,305.97,14.145,7.7525,,73.765
2451325,5/26/1999,Wed,36.142,7.1028,2.1049,,3.3497,,0.95517,1.9588,5.6792,6.2655,626.55,113.87,1.8682,0.242172,0.0037256,309.78,14.144,7.7536,238.08,74.855
2451326,5/27/1999,Thu,36.236,7.1227,2.111,,3.3523,,0.95792,1.9848,5.6955,6.2835,628.5,114.26,1.8735,0.243417,0.0037259,310.68,14.156,7.7596,239.2,74.689
2451327,5/28/1999,Fri,35.836,7.1283,2.1137,,3.3348,,0.95914,1.9798,5.7028,6.2916,629.06,114.37,1.8759,0.243305,0.0037167,309.96,14.154,7.7596,237.82,74.306
2451330,5/31/1999,Mon,36.152,7.1112,2.1116,,3.3446,,0.95822,1.9799,5.6973,6.2855,628.51,114.23,1.8741,0.243328,0.0037128,309.9,14.216,7.7574,238.19,74.446
2451331,6/1/1999,Tue,35.889,7.1117,2.1096,,3.3364,,0.95728,1.9822,5.6917,6.2794,628.07,114.2,1.8723,0.2589,0.0037426,310.29,14.21,7.7589,237.78,74.473
2451332,6/2/1999,Wed,36.081,7.1745,2.1271,,3.3935,,0.96524,1.9897,5.7391,6.3316,633.06,115.09,1.8878,0.243839,0.0037438,311.99,14.218,7.7573,238.96,74.639
2451333,6/3/1999,Thu,36.054,7.1835,2.1298,,3.3889,,0.96648,1.9951,5.7464,6.3397,633.83,115.24,1.8903,0.257626,0.0037692,311.7,14.208,7.7572,238.78,74.556
