Date,BTC/USD,LTC/USD,ETH/USD,DASH/USD,ETC/USD,XMR/USD,XRP/USD,BCH/USD
2018-04-19 04-AM,8194.93,141.97,535.72,425.34,17.9,236.15,0.732216996,890
2018-04-19 03-AM,8212.95,142.35,538.73,426.56,17.96,232,0.732513011,898.51
2018-04-19 02-AM,8194.92,140.3,530.4,417.64,17.9,227.83,0.723529487,892.29
2018-04-19 01-AM,8145.05,139.42,525.37,417.01,17.7,226.88,0.720348222,886.89
2018-04-19 12-AM,8164.19,140.73,524.61,421.88,17.63,228.32,0.715183044,894.4
2018-04-18 11-PM,8159,140.12,522.2,419.85,17.59,230,0.71627861,883.75
2018-04-18 10-PM,8209.51,141.84,525,411.58,17.82,229.59,0.729414964,887.98
2018-04-18 09-PM,8180.46,138.83,522.45,415,17.49,228.12,0.714154158,884.65
2018-04-18 08-PM,8129,138.6,517.6,407,17.49,225.08,0.70088238,890
2018-04-18 07-PM,8093.13,138.42,516.35,403.65,17.33,223.77,0.687511394,879
2018-04-18 06-PM,8090,136.99,514.01,396.09,17.2,224.86,0.6857084,878.06
2018-04-18 05-PM,8112.8,137.73,516.42,395,17.25,224,0.68837108,868.58
2018-04-18 04-PM,8004.5,136.34,511.83,390,16.85,221.7,0.680142365,834.33
2018-04-18 03-PM,8101.45,137.58,514.25,400,17.01,223.1,0.688380207,841
2018-04-18 02-PM,8092.73,137,515.98,397,16.93,224.07,0.684968667,840
2018-04-18 01-PM,8091,137.58,517.3,396.02,17.08,224,0.68781591,837
2018-04-18 12-PM,8103.07,137.34,515.98,393.95,17.24,224,0.691434963,837.08
2018-04-18 11-AM,8099.47,137.21,513.26,385.76,17.06,225,0.677925639,830.97
2018-04-18 10-AM,8104.64,137.8,514.81,382.3,16.76,228.06,0.679006739,831.82
2018-04-18 09-AM,8084.06,136.37,513.99,384.4,16.59,225.76,0.677201706,836.18
2018-04-18 08-AM,8105.94,137.59,514.75,383.51,16.75,229.66,0.676359634,829.09
2018-04-18 07-AM,8130,137.51,515,379.13,16.51,229.58,0.6769851,790.89
2018-04-18 06-AM,7926,137.14,507.81,373.31,16.26,220,0.6649914,777.55
2018-04-18 05-AM,7916.29,134.78,506.81,366.48,16.11,206.56,0.66496836,773.89
2018-04-18 04-AM,7941.02,135.12,507.9,366.89,16.1,200.33,0.665933937,764.62
2018-04-18 03-AM,7911.29,134.32,506.99,364,16.17,197.54,0.660750941,764.62
2018-04-18 02-AM,7937.53,134.63,508.58,366,16.27,199,0.662466254,763.09
2018-04-18 01-AM,7925.03,133.2,504.14,365.89,16.2,196.99,0.6603135,761.33
2018-04-18 12-AM,7891.1,132.58,503,364.74,16.14,193.66,0.655040211,762.9
2018-04-17 11-PM,7903.95,134.29,504,371.01,16.15,193.65,0.658478075,757.6
2018-04-17 10-PM,7900.33,134.03,506.92,369.53,16.13,195.12,0.659440545,762.52
2018-04-17 09-PM,7926.13,134.87,505.44,369.57,16.18,196.99,0.660008845,760.62
2018-04-17 08-PM,7890,133.99,505,364.82,16.18,193.96,0.6582627,759.04
2018-04-17 07-PM,7953.25,135.24,507.98,368,16.23,197.81,0.6648917,764.4
2018-04-17 06-PM,8100,138.44,514.18,379.34,16.5,200.19,0.678942,782
2018-04-17 05-PM,8122,139.26,514.44,378,16.58,201.56,0.6769687,778.05
2018-04-17 04-PM,8082.86,136.6,513.22,374.8,16.55,198.17,0.674191353,782
2018-04-17 03-PM,8127.23,136.84,514.09,372.7,16.4,199,0.674803907,778.15
2018-04-17 02-PM,8105,136.9,516.09,375.73,16.55,198.03,0.67474125,779.87
2018-04-17 01-PM,8097.83,136.67,515,375.21,16.5,198.36,0.67211989,783.46
2018-04-17 12-PM,8110.08,139.59,517.98,375,16.47,199.66,0.67516416,775.86
2018-04-17 11-AM,8101.5,135.77,516.96,373.31,16.38,197.67,0.672829575,781.1
2018-04-17 10-AM,8151,137.74,517.55,375.21,16.5,201.28,0.67971189,778.86
