Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-20 11-AM,0.05204,0.002217,0.06893,0.01762,0.02968,0.000102600
2018-04-20 10-AM,0.05224,0.002201,0.0688,0.01755,0.02957,0.000102300
2018-04-20 09-AM,0.05234,0.002206,0.06875,0.01752,0.02916,0.000101400
2018-04-20 08-AM,0.05246,0.002214,0.06857,0.01758,0.0295,0.000102100
2018-04-20 07-AM,0.05198,0.002225,0.06887,0.01766,0.02968,0.000101800
2018-04-20 06-AM,0.05189,0.002204,0.06821,0.01755,0.02962,0.000100000
2018-04-20 05-AM,0.05198,0.002195,0.06801,0.01755,0.02929,0.000098600
2018-04-20 04-AM,0.05248,0.002227,0.06889,0.0178,0.02945,0.000100100
2018-04-20 03-AM,0.0521,0.002233,0.06861,0.01785,0.02936,0.000101000
2018-04-20 02-AM,0.05181,0.00224,0.06984,0.0179,0.02978,0.000101000
2018-04-20 01-AM,0.0522,0.002245,0.06939,0.01776,0.02874,0.000098250
2018-04-20 12-AM,0.05243,0.002217,0.06829,0.01776,0.02859,0.000094740
2018-04-19 11-PM,0.05242,0.002213,0.06804,0.01769,0.0286,0.000092220
2018-04-19 10-PM,0.05168,0.0022,0.06799,0.0177,0.02859,0.000092630
2018-04-19 09-PM,0.05219,0.002199,0.0674,0.0176,0.02876,0.000090020
2018-04-19 08-PM,0.0518,0.002191,0.06757,0.01763,0.0285,0.000090270
2018-04-19 07-PM,0.0517,0.002208,0.06746,0.01773,0.02856,0.000090550
2018-04-19 06-PM,0.0511,0.002211,0.06779,0.01758,0.02863,0.000090200
2018-04-19 05-PM,0.05105,0.002207,0.06729,0.01728,0.0285,0.000088740
2018-04-19 04-PM,0.05143,0.002193,0.06648,0.01725,0.0285,0.000088770
2018-04-19 03-PM,0.05123,0.002193,0.06631,0.01728,0.02834,0.000089130
2018-04-19 02-PM,0.05093,0.002193,0.06636,0.01728,0.0283,0.000087700
2018-04-19 01-PM,0.05058,0.00216,0.06581,0.01713,0.02823,0.000087780
2018-04-19 12-PM,0.05059,0.002159,0.0654,0.01707,0.02779,0.000086920
2018-04-19 11-AM,0.04979,0.002163,0.065,0.01709,0.02777,0.000087270
2018-04-19 10-AM,0.05049,0.00215,0.06496,0.01711,0.02803,0.000087180
2018-04-19 09-AM,0.04986,0.002142,0.06497,0.01703,0.02771,0.000086860
2018-04-19 08-AM,0.05049,0.002143,0.06528,0.01712,0.02798,0.000087420
2018-04-19 07-AM,0.05111,0.00215,0.0651,0.0172,0.0283,0.000088490
2018-04-19 06-AM,0.05127,0.00216,0.06507,0.01714,0.02824,0.000088330
2018-04-19 05-AM,0.05154,0.002175,0.0653,0.01719,0.0286,0.000088590
2018-04-19 04-AM,0.05193,0.002173,0.06542,0.01732,0.0289,0.000089350
2018-04-19 03-AM,0.05204,0.00219,0.0654,0.0173,0.02817,0.000089190
2018-04-19 02-AM,0.05111,0.002183,0.06491,0.01724,0.02819,0.000088290
